59420.0, {'gneJ207': np.float32(-1.4598215)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59430.0, {'gneJ207': np.float32(-1.8526785)}, {'gneJ207': 6}, {'gneJ207': 11}, 
59440.0, {'gneJ207': np.float32(-0.35267857)}, {'gneJ207': 3}, {'gneJ207': 5}, 
59450.0, {'gneJ207': np.float32(-0.34375)}, {'gneJ207': 3}, {'gneJ207': 6}, 
59460.0, {'gneJ207': np.float32(-0.84375)}, {'gneJ207': 5}, {'gneJ207': 15}, 
59470.0, {'gneJ207': np.float32(-1.6607143)}, {'gneJ207': 7}, {'gneJ207': 21}, 
59480.0, {'gneJ207': np.float32(-2.71875)}, {'gneJ207': 7}, {'gneJ207': 26}, 
59490.0, {'gneJ207': np.float32(-2.625)}, {'gneJ207': 7}, {'gneJ207': 18}, 
59500.0, {'gneJ207': np.float32(-2.71875)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59510.0, {'gneJ207': np.float32(-3.5)}, {'gneJ207': 7}, {'gneJ207': 21}, 
59520.0, {'gneJ207': np.float32(-1.6741072)}, {'gneJ207': 4}, {'gneJ207': 8}, 
59530.0, {'gneJ207': np.float32(-1.9821428)}, {'gneJ207': 5}, {'gneJ207': 8}, 
59540.0, {'gneJ207': np.float32(-2.46875)}, {'gneJ207': 7}, {'gneJ207': 14}, 
59550.0, {'gneJ207': np.float32(-3.1339285)}, {'gneJ207': 7}, {'gneJ207': 16}, 
59560.0, {'gneJ207': np.float32(-1.15625)}, {'gneJ207': 4}, {'gneJ207': 8}, 
59570.0, {'gneJ207': np.float32(-0.90625)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59580.0, {'gneJ207': np.float32(-1.3392857)}, {'gneJ207': 6}, {'gneJ207': 12}, 
59590.0, {'gneJ207': np.float32(-1.8303572)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59600.0, {'gneJ207': np.float32(-0.875)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59610.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59620.0, {'gneJ207': np.float32(-0.058035713)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59630.0, {'gneJ207': np.float32(-0.08928572)}, {'gneJ207': 2}, {'gneJ207': 5}, 
59640.0, {'gneJ207': np.float32(-0.45982143)}, {'gneJ207': 4}, {'gneJ207': 12}, 
59650.0, {'gneJ207': np.float32(-0.66964287)}, {'gneJ207': 7}, {'gneJ207': 14}, 
59660.0, {'gneJ207': np.float32(-1.2410715)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59670.0, {'gneJ207': np.float32(-1.8214285)}, {'gneJ207': 7}, {'gneJ207': 13}, 
